FeH,EuFe,sigma_FeH,sigma_EuFe
-0.48,0.17,0.00,0.00
-0.12,0.11,0.00,0.00
-0.27,0.15,0.00,0.00
-0.27,0.08,0.00,0.00
-0.21,0.01,0.00,0.00
-0.39,0.09,0.00,0.00
-0.14,0.08,0.00,0.00
-0.31,-0.07,0.00,0.00
-0.05,0.24,0.00,0.00
-0.65,0.17,0.00,0.00
-0.22,0.02,0.00,0.00
-0.33,0.01,0.00,0.00
-0.16,-0.03,0.00,0.00
-0.18,0.00,0.00,0.00
-0.21,0.10,0.00,0.00
-0.62,0.22,0.00,0.00
-0.31,-0.05,0.00,0.00
-0.54,0.09,0.00,0.00
